"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","power","war","action","justice","union","america","government","world","law","war"
"2","spirit","peace","common","government","constitution","american","people","freedom","business","less"
"3","character","foreign","efforts","economic","blessings","”","states","peace","american","without"
"4","however","nations","resources","national","yet","government","public","nation","trade","god"
"5","executive","united","means","order","domestic","americans","constitution","nations","secure","service"
"6","fellowcitizens","commerce","always","opportunity","human","nation","power","people","congress","view"
"7","others","trust","effort","things","religious","people","united","free","policy","light"
"8","president","fellowcitizens","sound","civilization","equal","work","interests","history","laws","rules"
"9","control","force","thought","life","extended","citizens","rights","life","south","arms"
"10","given","nation","duty","moral","opinions","president","duty","men","labor","forth"
